2691 Event(s) in Catalog:
2021-12-16T03:10:35.321828Z |  +4.502, +135.623 | 2.3  MW | manual
2021-12-16T01:54:00.084066Z |  +4.502, +135.623 | manual
2021-12-15T21:50:18.970642Z |  +4.502, +135.623 | manual
2021-12-15T20:41:44.131000Z |  +4.502, +135.623 | automatic
2021-12-15T20:27:52.081000Z |  +4.502, +135.623 | automatic
2021-12-15T19:48:43.681000Z |  +4.502, +135.623 | automatic
2021-12-15T19:13:54.231000Z |  +4.502, +135.623 | automatic
2021-12-15T17:57:39.258937Z |  +4.502, +135.623 | manual
2021-12-14T21:18:26.433097Z |  +4.502, +135.623 | manual
2021-12-14T20:30:02.283577Z |  +4.502, +135.623 | manual
2021-12-14T20:13:53.018000Z |  +4.502, +135.623 | automatic
2021-12-14T19:45:51.818000Z |  +4.502, +135.623 | automatic
2021-12-14T19:25:04.068000Z |  +4.502, +135.623 | automatic
2021-12-14T19:16:10.268000Z |  +4.502, +135.623 | automatic
2021-12-14T18:53:58.702519Z |  +4.502, +135.623 | manual
2021-12-14T17:50:22.818000Z |  +4.502, +135.623 | automatic
2021-12-13T20:00:12.768000Z |  +4.502, +135.623 | automatic
2021-12-13T19:32:45.518000Z |  +4.502, +135.623 | automatic
2021-12-13T19:09:42.418000Z |  +4.502, +135.623 | automatic
2021-12-13T18:39:26.968000Z |  +4.502, +135.623 | automatic
2021-12-13T18:32:01.668000Z |  +4.502, +135.623 | automatic
2021-12-13T03:03:50.668000Z |  +4.502, +135.623 | automatic
2021-12-12T20:20:50.278146Z |  +4.502, +135.623 | 2.3  MW | manual
2021-12-12T19:26:40.018259Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-12T18:58:25.768000Z |  +4.502, +135.623 | automatic
2021-12-12T18:33:53.718000Z |  +4.502, +135.623 | automatic
2021-12-12T01:25:28.368000Z |  +4.502, +135.623 | automatic
2021-12-12T00:06:26.240526Z |  +4.502, +135.623 | manual
2021-12-11T22:30:41.149462Z |  +4.502, +135.623 | 2.0  MW | manual
2021-12-11T18:32:15.106053Z |  +4.502, +135.623 | manual
2021-12-11T17:59:13.668000Z |  +4.502, +135.623 | automatic
2021-12-11T17:57:51.818000Z |  +4.502, +135.623 | automatic
2021-12-11T17:19:26.468000Z |  +4.502, +135.623 | automatic
2021-12-11T17:12:52.118000Z |  +4.502, +135.623 | automatic
2021-12-11T01:50:50.768000Z |  +4.502, +135.623 | automatic
2021-12-10T22:53:15.661441Z |  +4.502, +135.623 | manual
2021-12-10T21:41:49.768192Z |  +4.502, +135.623 | manual
2021-12-10T18:54:28.393422Z |  +4.502, +135.623 | 1.6  MW | manual
2021-12-10T18:42:25.418000Z |  +4.502, +135.623 | automatic
2021-12-10T18:25:44.798815Z |  +4.502, +135.623 | 1.6  MW | manual
2021-12-10T17:50:21.118000Z |  +4.502, +135.623 | automatic
2021-12-10T17:16:20.918000Z |  +4.502, +135.623 | automatic
2021-12-10T16:50:05.868000Z |  +4.502, +135.623 | automatic
2021-12-10T16:28:59.796045Z |  +4.502, +135.623 | manual
2021-12-10T16:09:34.918000Z |  +4.502, +135.623 | automatic
2021-12-10T15:37:04.539125Z |  +4.502, +135.623 | manual
2021-12-10T01:19:45.118000Z |  +4.502, +135.623 | automatic
2021-12-10T00:51:14.218000Z |  +4.502, +135.623 | automatic
2021-12-09T21:26:47.050356Z |  +4.502, +135.623 | 2.4  MW | manual
2021-12-09T17:19:59.814000Z |  +4.502, +135.623 | automatic
2021-12-09T17:14:22.947340Z |  +4.502, +135.623 | manual
2021-12-09T16:56:47.064000Z |  +4.502, +135.623 | automatic
2021-12-09T16:41:10.064000Z |  +4.502, +135.623 | automatic
2021-12-09T16:04:10.264000Z |  +4.502, +135.623 | automatic
2021-12-09T15:59:18.664000Z |  +4.502, +135.623 | automatic
2021-12-09T00:02:14.764000Z |  +4.502, +135.623 | automatic
2021-12-08T18:30:46.551580Z |  +4.502, +135.623 | 1.9  MW | manual
2021-12-08T15:52:21.182559Z |  +4.502, +135.623 | 1.9  MW | manual
2021-12-08T15:32:37.564000Z |  +4.502, +135.623 | automatic
2021-12-08T14:51:43.764000Z |  +4.502, +135.623 | automatic
2021-12-08T14:40:29.567364Z |  +4.502, +135.623 | manual
2021-12-07T19:36:37.952500Z |  +4.502, +135.623 | manual
2021-12-07T15:47:02.864000Z |  +4.502, +135.623 | automatic
2021-12-07T15:43:34.564000Z |  +4.502, +135.623 | automatic
2021-12-07T15:22:41.164000Z |  +4.502, +135.623 | automatic
2021-12-07T14:49:25.114000Z |  +4.502, +135.623 | automatic
2021-12-07T14:01:49.155880Z |  +4.502, +135.623 | 1.9  MW | manual
2021-12-06T23:59:44.114000Z |  +4.502, +135.623 | automatic
2021-12-06T23:30:43.364000Z |  +4.502, +135.623 | automatic
2021-12-06T23:01:15.064000Z |  +4.502, +135.623 | automatic
2021-12-06T22:26:36.644484Z |  +4.502, +135.623 | manual
2021-12-06T19:53:30.747907Z |  +4.502, +135.623 | manual
2021-12-06T16:57:08.782929Z |  +4.502, +135.623 | manual
2021-12-06T16:21:39.828577Z |  +4.502, +135.623 | manual
2021-12-06T15:49:29.406556Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-06T14:59:48.301421Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-06T14:58:42.064000Z |  +4.502, +135.623 | automatic
2021-12-06T14:47:02.364000Z |  +4.502, +135.623 | automatic
2021-12-06T12:36:26.390249Z |  +4.502, +135.623 | manual
2021-12-06T12:08:08.803273Z |  +4.502, +135.623 | manual
2021-12-05T21:58:02.722025Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-05T15:21:57.964000Z |  +4.502, +135.623 | automatic
2021-12-05T14:43:47.693762Z |  +4.502, +135.623 | 2.1  MW | manual
2021-12-05T14:21:33.414000Z |  +4.502, +135.623 | automatic
2021-12-05T14:06:36.614000Z |  +4.502, +135.623 | automatic
2021-12-05T14:00:27.214000Z |  +4.502, +135.623 | automatic
2021-12-05T13:15:12.814000Z |  +4.502, +135.623 | automatic
2021-12-05T12:08:34.847803Z |  +4.502, +135.623 | 1.8  MW | manual
2021-12-04T22:03:29.664000Z |  +4.502, +135.623 | automatic
2021-12-04T21:34:03.114000Z |  +4.502, +135.623 | automatic
2021-12-04T21:04:19.519527Z |  +4.502, +135.623 | manual
2021-12-04T21:03:32.914000Z |  +4.502, +135.623 | automatic
2021-12-04T14:37:30.742445Z |  +4.502, +135.623 | manual
2021-12-04T13:45:07.903000Z |  +4.502, +135.623 | automatic
2021-12-04T13:40:57.053000Z |  +4.502, +135.623 | automatic
2021-12-04T13:29:51.103000Z |  +4.502, +135.623 | automatic
2021-12-04T12:53:00.453000Z |  +4.502, +135.623 | automatic
2021-12-03T21:26:20.653000Z |  +4.502, +135.623 | automatic
2021-12-03T14:28:52.584603Z |  +4.502, +135.623 | 2.0  MW | manual
2021-12-03T13:12:36.603000Z |  +4.502, +135.623 | automatic
2021-12-03T12:54:02.903000Z |  +4.502, +135.623 | automatic
2021-12-03T12:52:35.331150Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-03T11:45:53.903000Z |  +4.502, +135.623 | automatic
2021-12-03T11:36:32.053000Z |  +4.502, +135.623 | automatic
2021-12-03T10:50:18.377440Z |  +4.502, +135.623 | 1.9  MW | manual
2021-12-03T10:34:14.423109Z |  +4.502, +135.623 | 2.0  MW | manual
2021-12-02T12:26:08.053000Z |  +4.502, +135.623 | automatic
2021-12-02T12:14:14.153000Z |  +4.502, +135.623 | automatic
2021-12-02T11:34:26.753000Z |  +4.502, +135.623 | automatic
2021-12-02T10:55:02.353000Z |  +4.502, +135.623 | automatic
2021-12-01T21:14:09.003000Z |  +4.502, +135.623 | automatic
2021-12-01T12:57:07.587713Z |  +4.502, +135.623 | 1.7  MW | manual
2021-12-01T12:19:05.491437Z |  +4.502, +135.623 | 2.0  MW | manual
2021-12-01T11:34:27.953000Z |  +4.502, +135.623 | automatic
2021-12-01T11:19:29.153000Z |  +4.502, +135.623 | automatic
2021-12-01T11:17:09.303000Z |  +4.502, +135.623 | automatic
2021-12-01T10:57:17.196875Z |  +4.502, +135.623 | manual
2021-12-01T08:59:18.397746Z |  +4.502, +135.623 | manual
2021-11-30T10:50:37.653000Z |  +4.502, +135.623 | automatic
2021-11-30T10:21:01.203000Z |  +4.502, +135.623 | automatic
2021-11-30T08:46:36.234688Z |  +4.502, +135.623 | manual
2021-11-29T13:25:16.418514Z |  +4.502, +135.623 | 1.9  MW | manual
2021-11-29T10:07:55.356000Z |  +4.502, +135.623 | automatic
2021-11-29T09:49:47.106000Z |  +4.502, +135.623 | automatic
2021-11-29T08:52:02.154581Z |  +4.502, +135.623 | 1.7  MW | manual
2021-11-28T10:21:09.828462Z |  +4.502, +135.623 | 2.0  MW | manual
2021-11-28T09:57:10.056000Z |  +4.502, +135.623 | automatic
2021-11-28T09:34:03.456000Z |  +4.502, +135.623 | automatic
2021-11-28T09:00:31.256000Z |  +4.502, +135.623 | automatic
2021-11-28T08:10:32.786857Z |  +4.502, +135.623 | 2.1  MW | manual
2021-11-28T07:21:43.894954Z |  +4.502, +135.623 | 1.8  MW | manual
2021-11-28T07:03:33.360348Z |  +4.502, +135.623 | 2.0  MW | manual
2021-11-28T04:32:40.606000Z |  +4.502, +135.623 | automatic
2021-11-27T12:49:30.015375Z |  +4.502, +135.623 | manual
2021-11-27T11:02:42.328778Z |  +4.502, +135.623 | 1.8  MW | manual
2021-11-27T10:20:03.576190Z |  +4.502, +135.623 | 1.6  MW | manual
2021-11-27T09:45:03.861549Z |  +4.502, +135.623 | 1.7  MW | manual
2021-11-27T08:40:38.556000Z |  +4.502, +135.623 | automatic
2021-11-27T08:35:35.924078Z |  +4.502, +135.623 | manual
2021-11-27T06:49:38.035118Z |  +4.502, +135.623 | 2.0  MW | manual
2021-11-26T07:50:08.406000Z |  +4.502, +135.623 | automatic
2021-11-25T15:28:58.957262Z |  +4.502, +135.623 | manual
2021-11-25T14:12:35.706000Z |  +4.502, +135.623 | automatic
